@timestamp,process.args,kubernetes.labels.app,kubernetes.pod.name
2023-08-24 15:10:08,"runc, --root, /var/run/docker/runtime-runc/moby, --log, /var/run/desktop-containerd/daemon/io.containerd.runtime.v2.task/moby/12f15471f3244dec7ce14f73b61287749cc6421ffbd0c83548dcbdef49a38d61/log.json, --log-format, json, create, --bundle, /var/run/desktop-containerd/daemon/io.containerd.runtime.v2.task/moby/12f15471f3244dec7ce14f73b61287749cc6421ffbd0c83548dcbdef49a38d61, --pid-file, /var/run/desktop-containerd/daemon/io.containerd.runtime.v2.task/moby/12f15471f3244dec7ce14f73b61287749cc6421ffbd0c83548dcbdef49a38d61/init.pid, 12f15471f3244dec7ce14f73b61287749cc6421ffbd0c83548dcbdef49a38d61",carts,carts-7bbf9dc945-gw8gn
2023-08-24 15:10:08,"runc, --root, /var/run/docker/runtime-runc/moby, --log, /var/run/desktop-containerd/daemon/io.containerd.runtime.v2.task/moby/d84b0751480f10f5a07567d7157a5819cf8c2c75d2d0bb07a9d13735ee17e375/log.json, --log-format, json, create, --bundle, /var/run/desktop-containerd/daemon/io.containerd.runtime.v2.task/moby/d84b0751480f10f5a07567d7157a5819cf8c2c75d2d0bb07a9d13735ee17e375, --pid-file, /var/run/desktop-containerd/daemon/io.containerd.runtime.v2.task/moby/d84b0751480f10f5a07567d7157a5819cf8c2c75d2d0bb07a9d13735ee17e375/init.pid, d84b0751480f10f5a07567d7157a5819cf8c2c75d2d0bb07a9d13735ee17e375",carts,carts-7bbf9dc945-gw8gn
2023-08-24 15:10:08,"runc, --root, /var/run/docker/runtime-runc/moby, --log, /var/run/desktop-containerd/daemon/io.containerd.runtime.v2.task/moby/41f04b511d7bee76d565113edeb4f8676ad0e6dcd42227d8d736b9c4a61fe4d1/log.json, --log-format, json, create, --bundle, /var/run/desktop-containerd/daemon/io.containerd.runtime.v2.task/moby/41f04b511d7bee76d565113edeb4f8676ad0e6dcd42227d8d736b9c4a61fe4d1, --pid-file, /var/run/desktop-containerd/daemon/io.containerd.runtime.v2.task/moby/41f04b511d7bee76d565113edeb4f8676ad0e6dcd42227d8d736b9c4a61fe4d1/init.pid, 41f04b511d7bee76d565113edeb4f8676ad0e6dcd42227d8d736b9c4a61fe4d1",carts,carts-7bbf9dc945-gw8gn
2023-08-24 15:09:43,"runc, --version",user,user-db-b8dfb847c-fpzdr
2023-08-24 15:09:28,"runc, --version",catalogue,catalogue-6479dbb5bd-fgxd7
2023-08-24 15:08:43,"runc, --version",shipping,shipping-79c568cddc-jtq95
2023-08-24 15:07:44,"runc, --version",carts,carts-7bbf9dc945-gw8gn
2023-08-24 15:06:59,"runc, --version",orders,orders-74f65597c5-hcj9n
2023-08-24 15:06:58,"runc, --version",orders,orders-74f65597c5-hcj9n
2023-08-24 15:06:58,"runc, --version",orders,orders-74f65597c5-hcj9n
2023-08-24 15:06:47,"runc, --version",payment,payment-c7df5b49-zlcth
2023-08-24 15:05:00,"runc, --version",catalogue,catalogue-6479dbb5bd-fgxd7
