,timestamp,frontend_adservice&p90,checkoutservice_cartservice&p90,frontend_cartservice&p90,frontend_checkoutservice&p90,checkoutservice_currencyservice&p90,frontend_currencyservice&p90,checkoutservice_emailservice&p90,loadgenerator_frontend&p90,checkoutservice_paymentservice&p90,checkoutservice_productcatalogservice&p90,frontend_productcatalogservice&p90,recommendationservice_productcatalogservice&p90,frontend_recommendationservice&p90,checkoutservice_shippingservice&p90,frontend_shippingservice&p90
23,2023-08-23 08:54:44,8.099999999999998,20.5,18.800000000000004,235.0,8.0,4.835514018691589,4.6,195.49999999999997,9.0,5.0,4.907777777777778,4.83448275862069,33.43749999999998,4.6,4.733333333333334
24,2023-08-23 08:54:49,8.099999999999998,20.5,18.800000000000004,235.0,9.666666666666664,6.94444444444445,4.6,195.49999999999997,9.0,5.0,4.907777777777778,4.83448275862069,33.43749999999998,4.6,4.728571428571429
25,2023-08-23 08:54:54,8.099999999999998,22.0,25.0,235.00000000000003,9.666666666666664,6.94444444444445,4.6,239.28571428571433,,5.0,4.907777777777778,4.83448275862069,33.43749999999998,4.6,4.728571428571429
26,2023-08-23 08:54:59,7.749999999999999,22.0,25.0,235.0,9.666666666666664,6.94444444444445,4.6000000000000005,239.28571428571425,,4.75,4.916756756756756,4.910344827586206,29.499999999999982,4.6,4.728571428571429
27,2023-08-23 08:55:04,7.749999999999999,22.0,25.0,235.0,8.666666666666666,7.804347826086962,4.6000000000000005,239.28571428571425,,4.75,4.916756756756756,4.910344827586206,29.499999999999982,4.533333333333333,4.771428571428572
28,2023-08-23 08:55:09,7.749999999999999,19.750000000000004,30.555555555555557,8000.0,8.666666666666666,7.804347826086962,4.6,295.83333333333354,95.0,4.75,4.916756756756755,4.910344827586208,29.499999999999982,4.533333333333333,4.771428571428572
29,2023-08-23 08:55:14,8.75000000000001,19.750000000000004,30.555555555555557,8000.0,8.666666666666666,7.804347826086962,4.6,295.83333333333354,95.0,4.733333333333334,4.893498452012383,4.976923076923077,30.99999999999997,4.533333333333333,4.771428571428572
30,2023-08-23 08:55:19,8.75000000000001,19.750000000000004,30.555555555555557,8000.0,6.999999999999995,8.163043478260876,4.6,295.83333333333354,95.0,4.733333333333334,4.893498452012383,4.976923076923077,30.99999999999997,4.5200000000000005,4.76
31,2023-08-23 08:55:24,8.75000000000001,19.750000000000007,22.666666666666654,7500.000000000002,6.999999999999995,8.163043478260876,4.6000000000000005,358.33333333333314,85.00000000000001,4.733333333333334,4.893498452012383,4.976923076923077,30.99999999999997,4.5200000000000005,4.76
32,2023-08-23 08:55:29,4.954098360655738,19.750000000000007,22.666666666666654,7500.000000000002,6.999999999999995,8.163043478260876,4.6000000000000005,358.33333333333314,85.0,4.525000000000002,4.713548387096774,4.909433962264151,20.750000000000007,4.5200000000000005,4.76
