"@timestamp","process.args","kubernetes.labels.app","kubernetes.pod.name"
"2023-08-23 06:42:20","runc, --root, /var/run/docker/runtime-runc/moby, --log, /var/run/desktop-containerd/daemon/io.containerd.runtime.v2.task/moby/0983fe9d26b616dbb79fed66c9b99a4eb8fb1b90d66e54cc08ea8955288c3543/log.json, --log-format, json, create, --bundle, /var/run/desktop-containerd/daemon/io.containerd.runtime.v2.task/moby/0983fe9d26b616dbb79fed66c9b99a4eb8fb1b90d66e54cc08ea8955288c3543, --pid-file, /var/run/desktop-containerd/daemon/io.containerd.runtime.v2.task/moby/0983fe9d26b616dbb79fed66c9b99a4eb8fb1b90d66e54cc08ea8955288c3543/init.pid, 0983fe9d26b616dbb79fed66c9b99a4eb8fb1b90d66e54cc08ea8955288c3543",frontend,"frontend-846c85c54c-9rg78"
"2023-08-23 06:42:20","/usr/bin/containerd-shim-runc-v2, -namespace, moby, -id, b722d8383b79d6b98ee1a3baaf3fb73aa58ba06186d17a2ed020e7264f0afe19, -address, /var/run/desktop-containerd/containerd.sock",frontend,"frontend-846c85c54c-9rg78"
"2023-08-23 06:42:20","runc, init",frontend,"frontend-846c85c54c-9rg78"
"2023-08-23 06:42:20","runc, --root, /var/run/docker/runtime-runc/moby, --log, /var/run/desktop-containerd/daemon/io.containerd.runtime.v2.task/moby/b722d8383b79d6b98ee1a3baaf3fb73aa58ba06186d17a2ed020e7264f0afe19/log.json, --log-format, json, create, --bundle, /var/run/desktop-containerd/daemon/io.containerd.runtime.v2.task/moby/b722d8383b79d6b98ee1a3baaf3fb73aa58ba06186d17a2ed020e7264f0afe19, --pid-file, /var/run/desktop-containerd/daemon/io.containerd.runtime.v2.task/moby/b722d8383b79d6b98ee1a3baaf3fb73aa58ba06186d17a2ed020e7264f0afe19/init.pid, b722d8383b79d6b98ee1a3baaf3fb73aa58ba06186d17a2ed020e7264f0afe19",frontend,"frontend-846c85c54c-9rg78"
"2023-08-23 06:42:20","runc, init",frontend,"frontend-846c85c54c-9rg78"
"2023-08-23 06:42:19","/usr/bin/containerd-shim-runc-v2, -namespace, moby, -id, 0983fe9d26b616dbb79fed66c9b99a4eb8fb1b90d66e54cc08ea8955288c3543, -address, /var/run/desktop-containerd/containerd.sock",frontend,"frontend-846c85c54c-9rg78"
"2023-08-23 06:41:12","/usr/bin/containerd-shim-runc-v2, -namespace, moby, -id, 1df5a4ad83df44dfe42046d674e6de0389b3b22f1ac1e4fc75ccb494b70a348a, -address, /var/run/desktop-containerd/containerd.sock",cartservice,"cartservice-6969c94d94-l66mx"
"2023-08-23 06:41:12","/usr/bin/containerd-shim-runc-v2, -namespace, moby, -id, 796979f992ce271153c169efd01f448feffa3ca96bb15435a9ac718339ae3903, -address, /var/run/desktop-containerd/containerd.sock",cartservice,"cartservice-6969c94d94-l66mx"
"2023-08-23 06:41:12","/usr/bin/containerd-shim-runc-v2, -namespace, moby, -id, 211a379111dc841ed2d77ad316b3cb47677fe025db0ed0a5e449ef45d69894e5, -address, /var/run/desktop-containerd/containerd.sock",cartservice,"cartservice-6969c94d94-l66mx"
"2023-08-23 06:41:12","/usr/bin/containerd-shim-runc-v2, -namespace, moby, -id, 2f1ad40c32fecd7afe6ef576d80ffea85fea7ac22384525b0c73535c42c72a89, -address, /var/run/desktop-containerd/containerd.sock",cartservice,"cartservice-6969c94d94-l66mx"
