loadgenerator_frontend&p99,shippingservice.csv,emailservice.csv,redis-cart.csv,productcatalogservice.csv,paymentservice.csv,adservice.csv,checkoutservice.csv,currencyservice.csv,cartservice.csv,recommendationservice.csv
469.1666666666664,0,0,0,0,0,0,0,0,0,0
469.1666666666664,0,0,0,0,0,0,0,0,0,0
469.1666666666664,0,0,0,0,0,0,0,0,0,0
412.4999999999993,0,0,0,0,0,0,0,0,0,0
412.4999999999993,0,0,0,0,1,0,0,0,1,0
412.4999999999993,0,1,0,0,0,0,0,0,0,0
243.4375,0,0,0,0,0,0,0,0,0,0
243.4375,0,0,0,0,0,0,0,0,0,0
243.4375,0,0,0,0,0,0,0,0,0,0
414.9999999999991,0,0,0,0,0,0,0,0,0,0
414.9999999999991,0,0,0,0,0,0,0,0,0,0
414.9999999999991,0,0,0,0,0,0,0,0,0,0
365.0000000000001,0,0,0,0,0,0,0,0,0,0
365.0000000000001,0,0,1,0,0,0,0,0,0,0
365.0000000000001,0,0,0,0,0,0,0,0,1,0
9633.333333333332,0,0,0,0,0,0,0,0,0,0
9633.333333333332,0,0,0,0,0,0,0,0,0,0
9633.333333333332,0,0,0,0,0,0,0,0,0,0
902.5,0,0,0,0,0,0,0,0,0,0
902.5,0,0,0,0,0,0,0,0,0,0
902.5,0,0,0,0,0,0,0,0,0,0
245.05,0,0,0,0,0,0,0,0,0,0
245.05,0,0,0,0,0,0,0,0,0,0
245.05,0,0,0,0,0,0,0,0,0,0
467.4999999999997,0,0,0,0,0,0,0,0,0,0
467.4999999999997,0,1,0,0,0,0,0,0,0,0
467.4999999999997,0,0,0,0,0,0,0,0,0,0
245.3333333333333,0,0,0,0,0,0,0,0,0,0
245.3333333333333,0,0,0,0,0,0,0,0,0,0
245.3333333333333,0,0,0,0,0,0,0,0,0,0
480.0000000000001,0,0,0,0,0,0,0,0,0,0
480.0000000000001,0,0,0,0,0,0,0,0,0,0
480.0000000000001,0,0,0,0,0,0,1,0,0,0
482.0,0,0,0,0,0,0,0,0,0,0
482.0,0,0,0,0,0,0,0,0,0,0
482.0,0,0,0,0,0,0,0,0,0,0
963.9999999999998,0,0,0,0,0,0,0,0,0,0
963.9999999999998,0,0,0,0,0,0,0,0,0,0
963.9999999999998,0,0,0,0,0,0,0,0,0,0
9687.5,1,0,0,0,0,0,0,1,0,0
9687.5,0,0,0,0,0,0,0,0,0,0
