"@timestamp","process.executable","process.args",message,"kubernetes.namespace","kubernetes.labels.version","kubernetes.labels.app","event.type","event.dataset","event.category","event.action","process.name"
"2023-06-30 08:30:24","/usr/local/bin/nsexec","/usr/local/bin/nsexec, -n, /proc/9525/ns/net, --, tc, qdisc","Process nsexec (PID: 62587) by user root STARTED",default,v1,productpage,start,process,process,"process_started",nsexec
"2023-06-30 08:30:05","/usr/local/bin/nsexec","/usr/local/bin/nsexec, -n, /proc/5403/ns/net, --, iptables-save, -c","Process nsexec (PID: 59791) by user root STARTED",default,v1,ratings,start,process,process,"process_started",nsexec
"2023-06-30 08:30:05","/usr/local/bin/nsexec","/usr/local/bin/nsexec, -n, /proc/15534/ns/net, --, ipset, save, -o, xml","Process nsexec (PID: 59796) by user root STARTED",default,v1,ratings,start,process,process,"process_started",nsexec
"2023-06-30 08:30:05","/usr/local/bin/nsexec","/usr/local/bin/nsexec, -n, /proc/5898/ns/net, --, tc, qdisc","Process nsexec (PID: 59756) by user root STOPPED",default,v1,ratings,end,process,process,"process_stopped",nsexec
"2023-06-30 08:30:04","/usr/local/bin/nsexec","/usr/local/bin/nsexec, -n, /proc/5898/ns/net, --, tc, qdisc","Process nsexec (PID: 59756) by user root STARTED",default,v3,reviews,start,process,process,"process_started",nsexec
"2023-06-30 08:30:03","/usr/local/bin/nsexec","/usr/local/bin/nsexec, -n, /proc/8836/ns/net, --, iptables-save, -c","Process nsexec (PID: 59690) by user root STOPPED",default,v1,productpage,end,process,process,"process_stopped",nsexec
"2023-06-30 08:30:02","/usr/local/bin/nsexec","/usr/local/bin/nsexec, -n, /proc/8836/ns/net, --, iptables-save, -c","Process nsexec (PID: 59690) by user root STARTED",default,v1,productpage,start,process,process,"process_started",nsexec
"2023-06-30 08:30:01","/sbin/ipset","ipset, save, -o, xml","ERROR for PID 59659: failed to get namespaces for /sbin/ipset PID 59659: stat /proc/59659/ns/mnt: no such file or directory",default,v1,details,info,process,process,"process_error",ipset
"2023-06-30 08:30:01","/usr/local/bin/nsexec","/usr/local/bin/nsexec, -n, /proc/9298/ns/net, --, ipset, save, -o, xml","ERROR for PID 59652: failed to get namespaces for /usr/local/bin/nsexec PID 59652: stat /proc/59652/ns/mnt: no such file or directory",default,v1,details,info,process,process,"process_error",nsexec
"2023-06-30 08:29:51","/usr/local/bin/nsexec","/usr/local/bin/nsexec, -n, /proc/15471/ns/net, --, iptables-save, -c","Process nsexec (PID: 57646) by user root STOPPED",default,v2,reviews,end,process,process,"process_stopped",nsexec
"2023-06-30 08:24:23","/usr/bin/runc","runc, --version","ERROR for PID 2601: failed to get namespaces for /usr/bin/runc PID 2601: stat /proc/2601/ns/mnt: no such file or directory",default,v3,reviews,info,process,process,"process_error",runc
